#      time         order        tairmean     top       
  336.0000000       1.0000       19.000       17.988    
  336.0277111       1.0000       19.000       17.988    
  336.0554222       1.0000       19.000       17.987    
  336.0682198       1.0000       19.000       17.987    
  336.0682198       1.0000       19.000       17.987    
  336.0903887       1.0000       19.000       17.987    
  336.1125575       1.0000       19.000       17.987    
  336.1568953       1.0000       19.000       17.986    
  336.2455708       1.0000       19.000       17.984    
  336.4229219       1.0000       19.000       17.982    
  336.7776240       1.0000       19.000       17.977    
  337.0000000       1.0000       19.000       17.973    
  337.0000000       1.0000       19.000       17.973    
  337.2837617       1.0000       19.000       17.970    
  337.5675234       1.0000       19.000       17.966    
  338.0000000       1.0000       19.000       17.961    
  338.0000000       1.0000       19.000       17.961    
  338.2270094       1.0000       19.000       17.958    
  338.4540187       1.0000       19.000       17.955    
  338.9080375       1.0000       19.000       17.950    
  339.0000000       1.0000       19.000       17.949    
  339.0000000       1.0000       19.000       17.949    
  339.3632150       1.0000       19.000       17.946    
  339.7264300       1.0000       19.000       17.942    
  340.0000000       1.0000       19.000       17.939    
  340.0000000       1.0000       19.000       17.939    
  340.2001218       1.0000       19.000       17.937    
  340.4002436       1.0000       19.000       17.935    
  340.4264857       1.0000       19.000       17.935    
  340.4789699       1.0000       19.000       17.935    
  340.4789699       1.0000       19.000       17.935    
  340.6390673       1.0000       19.000       17.933    
  340.7991647       1.0000       19.000       17.932    
  341.0000000       1.0000       19.000       17.930    
  341.0000000       1.0000       19.000       17.930    
  341.0334978       1.0000       19.000       17.929    
  341.0669955       1.0000       19.000       17.929    
  341.0986329       1.0000       19.000       17.929    
  341.1209903       1.0000       19.000       17.929    
  341.1405617       1.0000       19.000       17.929    
  341.1612116       1.0000       19.000       17.928    
  341.1798055       1.0000       19.000       17.928    
  341.1984890       1.0000       19.000       17.928    
  341.2164927       1.0000       19.000       17.928    
  341.2347019       1.0000       19.000       17.928    
  341.2529417       1.0000       19.000       17.928    
  341.2719537       1.0000       19.000       17.927    
  341.2926427       1.0000       19.000       17.927    
  341.3153501       1.0000       19.000       17.927    
  341.3408346       1.0000       19.000       17.927    
  341.3695986       1.0000       19.000       17.926    
  341.4029150       1.0000       19.000       17.926    
  341.4420061       1.0000       19.000       17.926    
  341.4891999       1.0000       19.000       17.925    
  341.5478014       1.0000       19.000       17.925    
  341.6239840       1.0000       19.000       17.924    
  341.7273979       1.0000       19.000       17.923    
  341.8824781       1.0000       19.000       17.922    
  342.0000000       1.0000       19.000       17.921    
  342.0000000       1.0000       19.000       17.921    
  342.0253099       1.0000       19.000       17.921    
  342.0506198       1.0000       19.000       17.921    
  342.1012396       1.0000       19.000       17.920    
  342.2024792       1.0000       19.000       17.920    
  342.4049584       1.0000       19.000       17.918    
  342.8099168       1.0000       19.000       17.915    
  343.0000000       1.0000       19.000       17.914    
  343.0000000       1.0000       19.000       17.914    
  343.0343953       1.0000       20.189       19.692    
  343.0687906       1.0000       21.039       20.124    
  343.1011780       1.0000       21.286       19.908    
  343.1334435       1.0000       21.209       19.609    
  343.1754500       1.0000       21.048       19.451    
  343.2406228       1.0000       20.983       19.477    
  343.3212050       1.0000       20.994       19.523    
  343.4506987       1.0000       21.003       19.543    
  343.6548112       1.0000       21.003       19.561    
  344.0000000       1.0000       21.002       19.589    
  344.0000000       1.0000       21.002       19.589    
  344.0275162       1.0000       21.002       19.592    
  344.0550325       1.0000       21.002       19.594    
  344.1100650       1.0000       21.002       19.598    
  344.2201299       1.0000       21.002       19.607    
  344.4402598       1.0000       21.002       19.622    
  344.8805197       1.0000       21.001       19.647    
  345.0000000       1.0000       21.001       19.653    
  345.0000000       1.0000       21.001       19.653    
  345.3522079       1.0000       21.001       19.670    
