#      time         order        qbridges     qcdwalls2z   qdaylite     qequip2zon   qhc2zone     qlcwinds2z   qlite        qloss        qocc2zone    qterm2zone
  336.0000000       1.0000       0.0000      -1465.6       0.0000       0.0000       2076.1      -413.63       0.0000       0.0000       0.0000      -201.18    
  336.0277111       1.0000       0.0000      -1467.2       0.0000       0.0000       2077.8      -413.72       0.0000       0.0000       0.0000      -201.25    
  336.0554222       1.0000       0.0000      -1468.8       0.0000       0.0000       2079.5      -413.81       0.0000       0.0000       0.0000      -201.29    
  336.0682198       1.0000       0.0000      -1469.5       0.0000       0.0000       2080.2      -413.85       0.0000       0.0000       0.0000      -201.30    
  336.0682198       1.0000       0.0000      -1469.5       0.0000       0.0000       2080.2      -413.85       0.0000       0.0000       0.0000      -201.30    
  336.0903887       1.0000       0.0000      -1470.7       0.0000       0.0000       2081.6      -413.92       0.0000       0.0000       0.0000      -201.29    
  336.1125575       1.0000       0.0000      -1472.0       0.0000       0.0000       2082.9      -413.99       0.0000       0.0000       0.0000      -201.28    
  336.1568953       1.0000       0.0000      -1474.4       0.0000       0.0000       2085.5      -414.12       0.0000       0.0000       0.0000      -201.25    
  336.2455708       1.0000       0.0000      -1479.2       0.0000       0.0000       2090.6      -414.38       0.0000       0.0000       0.0000      -201.21    
  336.4229219       1.0000       0.0000      -1488.5       0.0000       0.0000       2100.4      -414.83       0.0000       0.0000       0.0000      -201.15    
  336.7776240       1.0000       0.0000      -1505.8       0.0000       0.0000       2118.7      -415.63       0.0000       0.0000       0.0000      -201.10    
  337.0000000       1.0000       0.0000      -1516.3       0.0000       0.0000       2129.7      -416.12       0.0000       0.0000       0.0000      -201.08    
  337.0000000       1.0000       0.0000      -1516.3       0.0000       0.0000       2129.7      -416.12       0.0000       0.0000       0.0000      -201.08    
  337.2837617       1.0000       0.0000      -1528.9       0.0000       0.0000       2142.9      -416.67       0.0000       0.0000       0.0000      -200.92    
  337.5675234       1.0000       0.0000      -1541.0       0.0000       0.0000       2155.6      -417.16       0.0000       0.0000       0.0000      -200.76    
  338.0000000       1.0000       0.0000      -1558.2       0.0000       0.0000       2173.7      -417.87       0.0000       0.0000       0.0000      -200.63    
  338.0000000       1.0000       0.0000      -1558.2       0.0000       0.0000       2173.7      -417.87       0.0000       0.0000       0.0000      -200.63    
  338.2270094       1.0000       0.0000      -1567.0       0.0000       0.0000       2182.8      -418.23       0.0000       0.0000       0.0000      -200.59    
  338.4540187       1.0000       0.0000      -1575.4       0.0000       0.0000       2191.7      -418.59       0.0000       0.0000       0.0000      -200.56    
  338.9080375       1.0000       0.0000      -1591.4       0.0000       0.0000       2208.5      -419.30       0.0000       0.0000       0.0000      -200.57    
  339.0000000       1.0000       0.0000      -1594.6       0.0000       0.0000       2211.9      -419.45       0.0000       0.0000       0.0000      -200.57    
  339.0000000       1.0000       0.0000      -1594.6       0.0000       0.0000       2211.9      -419.45       0.0000       0.0000       0.0000      -200.57    
  339.3632150       1.0000       0.0000      -1606.6       0.0000       0.0000       2224.4      -419.93       0.0000       0.0000       0.0000      -200.39    
  339.7264300       1.0000       0.0000      -1618.1       0.0000       0.0000       2236.4      -420.34       0.0000       0.0000       0.0000      -200.23    
  340.0000000       1.0000       0.0000      -1626.5       0.0000       0.0000       2245.2      -420.64       0.0000       0.0000       0.0000      -200.15    
  340.0000000       1.0000       0.0000      -1626.5       0.0000       0.0000       2245.2      -420.64       0.0000       0.0000       0.0000      -200.15    
  340.2001218       1.0000       0.0000      -1632.5       0.0000       0.0000       2251.3      -420.72       0.0000       0.0000       0.0000      -199.68    
  340.4002436       1.0000       0.0000      -1638.4       0.0000       0.0000       2257.0      -420.66       0.0000       0.0000       0.0000      -199.08    
  340.4264857       1.0000       0.0000      -1639.1       0.0000       0.0000       2257.8      -420.65       0.0000       0.0000       0.0000      -199.00    
  340.4789699       1.0000       0.0000      -1640.7       0.0000       0.0000       2259.3      -420.63       0.0000       0.0000       0.0000      -198.85    
  340.4789699       1.0000       0.0000      -1640.7       0.0000       0.0000       2259.3      -420.63       0.0000       0.0000       0.0000      -198.85    
  340.6390673       1.0000       0.0000      -1645.2       0.0000       0.0000       2263.7      -420.50       0.0000       0.0000       0.0000      -198.45    
  340.7991647       1.0000       0.0000      -1649.7       0.0000       0.0000       2267.9      -420.34       0.0000       0.0000       0.0000      -198.11    
  341.0000000       1.0000       0.0000      -1655.2       0.0000       0.0000       2273.2      -420.11       0.0000       0.0000       0.0000      -197.75    
  341.0000000       1.0000       0.0000      -1655.2       0.0000       0.0000       2273.2      -420.11       0.0000       0.0000       0.0000      -197.75    
  341.0334978       1.0000       0.0000      -1656.1       0.0000       0.0000       2274.1      -420.07       0.0000       0.0000       0.0000      -197.69    
  341.0669955       1.0000       0.0000      -1657.1       0.0000       0.0000       2274.9      -420.03       0.0000       0.0000       0.0000      -197.63    
  341.0986329       1.0000       0.0000      -1657.9       0.0000       0.0000       2275.7      -419.98       0.0000       0.0000       0.0000      -197.44    
  341.1209903       1.0000       0.0000      -1658.5       0.0000       0.0000       2276.3      -419.94       0.0000       0.0000       0.0000      -197.30    
  341.1405617       1.0000       0.0000      -1659.0       0.0000       0.0000       2276.7      -419.91       0.0000       0.0000       0.0000      -197.18    
  341.1612116       1.0000       0.0000      -1659.6       0.0000       0.0000       2277.2      -419.87       0.0000       0.0000       0.0000      -197.06    
  341.1798055       1.0000       0.0000      -1660.1       0.0000       0.0000       2277.7      -419.83       0.0000       0.0000       0.0000      -196.95    
  341.1984890       1.0000       0.0000      -1660.6       0.0000       0.0000       2278.1      -419.79       0.0000       0.0000       0.0000      -196.84    
  341.2164927       1.0000       0.0000      -1661.1       0.0000       0.0000       2278.5      -419.75       0.0000       0.0000       0.0000      -196.74    
  341.2347019       1.0000       0.0000      -1661.5       0.0000       0.0000       2279.0      -419.70       0.0000       0.0000       0.0000      -196.64    
  341.2529417       1.0000       0.0000      -1662.0       0.0000       0.0000       2279.4      -419.66       0.0000       0.0000       0.0000      -196.54    
  341.2719537       1.0000       0.0000      -1662.5       0.0000       0.0000       2279.8      -419.61       0.0000       0.0000       0.0000      -196.43    
  341.2926427       1.0000       0.0000      -1663.1       0.0000       0.0000       2280.3      -419.56       0.0000       0.0000       0.0000      -196.32    
  341.3153501       1.0000       0.0000      -1663.7       0.0000       0.0000       2280.8      -419.49       0.0000       0.0000       0.0000      -196.20    
  341.3408346       1.0000       0.0000      -1664.3       0.0000       0.0000       2281.4      -419.42       0.0000       0.0000       0.0000      -196.07    
  341.3695986       1.0000       0.0000      -1665.1       0.0000       0.0000       2282.0      -419.33       0.0000       0.0000       0.0000      -195.93    
  341.4029150       1.0000       0.0000      -1666.0       0.0000       0.0000       2282.8      -419.22       0.0000       0.0000       0.0000      -195.77    
  341.4420061       1.0000       0.0000      -1667.0       0.0000       0.0000       2283.6      -419.09       0.0000       0.0000       0.0000      -195.58    
  341.4891999       1.0000       0.0000      -1668.2       0.0000       0.0000       2284.6      -418.93       0.0000       0.0000       0.0000      -195.37    
  341.5478014       1.0000       0.0000      -1669.7       0.0000       0.0000       2285.9      -418.72       0.0000       0.0000       0.0000      -195.12    
  341.6239840       1.0000       0.0000      -1671.6       0.0000       0.0000       2287.5      -418.43       0.0000       0.0000       0.0000      -194.81    
  341.7273979       1.0000       0.0000      -1674.3       0.0000       0.0000       2289.6      -418.03       0.0000       0.0000       0.0000      -194.42    
  341.8824781       1.0000       0.0000      -1678.1       0.0000       0.0000       2292.7      -417.41       0.0000       0.0000      1.21327E-06  -193.90    
  342.0000000       1.0000       0.0000      -1681.0       0.0000       0.0000       2295.0      -416.93       0.0000       0.0000      2.94696E-06  -193.54    
  342.0000000       1.0000       0.0000      -1681.0       0.0000       0.0000       2295.0      -416.93       0.0000       0.0000      2.94466E-06  -193.54    
  342.0253099       1.0000       0.0000      -1681.6       0.0000       0.0000       2295.5      -416.83       0.0000       0.0000      4.06259E-06  -193.46    
  342.0506198       1.0000       0.0000      -1682.2       0.0000       0.0000       2296.0      -416.72       0.0000       0.0000      5.18053E-06  -193.39    
  342.1012396       1.0000       0.0000      -1683.4       0.0000       0.0000       2297.0      -416.48       0.0000       0.0000      7.41639E-06  -192.93    
  342.2024792       1.0000       0.0000      -1685.8       0.0000       0.0000       2298.6      -415.90       0.0000       0.0000      1.19611E-05  -191.75    
  342.4049584       1.0000       0.0000      -1690.4       0.0000       0.0000       2301.3      -414.35       0.0000       0.0000      2.70128E-05  -189.75    
  342.8099168       1.0000       0.0000      -1699.3       0.0000       0.0000       2305.8      -410.69       0.0000       0.0000      7.52211E-05  -186.56    
  343.0000000       1.0000       0.0000      -1703.4       0.0000       0.0000       2307.7      -408.89       0.0000       0.0000      1.06005E-04  -186.40    
  343.0000000       1.0000       0.0000      -1703.4       0.0000       0.0000       2307.7      -408.89       0.0000       0.0000      1.06005E-04  -186.40    
  343.0343945       1.0000       0.0000      -4107.3       0.0000       0.0000       7229.2      -476.83       0.0000       0.0000      1.11560E-04  -267.29    
  343.0687890       1.0000       0.0000      -4478.6       0.0000       0.0000       6990.2      -483.01       0.0000       0.0000      1.17124E-04  -325.23    
  343.1011679       1.0000       0.0000      -4024.7       0.0000       0.0000       5360.7      -465.18       0.0000       0.0000      1.22389E-04  -342.12    
  343.1334259       1.0000       0.0000      -3544.8       0.0000       0.0000       4174.5      -447.87       0.0000       0.0000      1.27613E-04  -337.12    
  343.1754230       1.0000       0.0000      -3311.3       0.0000       0.0000       3821.5      -438.56       0.0000       0.0000      1.34415E-04  -326.47    
  343.2405886       1.0000       0.0000      -3322.7       0.0000       0.0000       4020.4      -436.53       0.0000       0.0000      1.43773E-04  -322.43    
